sector,bank,year,nii,roa,dep_ratio,prov_npa,total_staff,inflation,roa_risk,nii_opinc,loanratio,equityratio,log_ta,tagr,gdp_grth,gfce,roa_risk_5yr,govt_exp,repo,hhi_nii,diverse
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2012,3.0,2.05,0.02,-0.32,15,8.86,2.3376,17.0358,8.7597,89.668,6.2518,15.31,5.4564,10.6839,1.2359,14.18,8.5,1.0,-19962.43
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2013,1.83,2.45,22.74,-0.32,25,9.31,2.7938,5.0539,43.2998,61.8647,6.6577,15.31,6.3861,10.2952,1.477,13.88,7.9,0.7134,-25530.96
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2014,10.36,2.35,24.85,-0.32,29,11.06,2.6797,14.9387,47.9954,55.6283,6.8109,15.31,7.4102,10.4409,1.4167,13.34,7.75,1.5299,-15646.84
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2015,19.2,2.71,29.55,-0.32,33,6.65,3.0902,19.9005,75.9604,38.7152,7.2345,42.36,7.9962,10.4283,1.6337,13.0,8.0,0.7342,-13344.47
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2016,32.91,2.66,41.86,-0.32,41,4.91,3.0332,32.1795,72.5498,36.2189,7.3596,12.51,8.2563,10.3085,1.0503,12.8,6.75,0.732,-11825.97
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2017,39.96,0.68,30.6,-0.32,38,4.95,0.7754,40.2863,33.5114,28.518,7.617,25.74,6.7954,10.7672,0.2685,12.53,6.25,0.5556,-13260.91
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2018,18.26,0.69,45.65,-0.32,51,3.33,0.7868,12.3062,30.0798,20.4531,7.9807,36.37,6.533,10.7885,0.2724,12.2,6.0,0.4593,-13763.13
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2019,27.98,1.06,37.66,-0.32,54,3.95,1.2087,12.8461,34.8571,17.6835,8.1856,20.48,4.0416,11.228,0.4185,13.21,6.5,0.5665,-12147.04
Foreign,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,2020,36.18,0.9,61.83,-0.32,56,3.72,1.0263,16.6131,11.6095,19.4456,8.1394,-4.62,-7.9646,12.6008,0.3554,17.6,5.25,0.4218,-11905.06
Foreign,INDUSTRIAL BANK OF KOREA,2016,1.95,1.94,6.65,0.0,22,4.91,3.0464,21.6667,2.7094,89.4705,5.5209,17.28,8.2563,10.3085,0.766,12.8,6.75,0.9404,-39189.94
Foreign,INDUSTRIAL BANK OF KOREA,2017,4.22,1.67,19.29,0.0,24,4.95,2.6224,41.0506,28.4555,76.8511,5.6937,17.28,6.7954,10.7672,0.6594,12.53,6.25,0.8479,-32959.45
Foreign,INDUSTRIAL BANK OF KOREA,2018,6.45,1.78,29.89,0.0,24,3.33,2.7952,46.807,46.5112,67.332,5.8513,15.76,6.533,10.7885,0.7028,12.2,6.0,0.6063,-24256.58
Foreign,INDUSTRIAL BANK OF KOREA,2019,8.43,2.48,20.09,0.0,24,3.95,3.8944,35.169,35.0506,76.1428,6.3115,46.02,4.0416,11.228,0.9792,13.21,6.5,0.5447,-15974.24
Foreign,INDUSTRIAL BANK OF KOREA,2020,10.98,3.21,30.87,0.0,25,3.72,5.0407,29.2956,30.562,66.0137,6.5024,19.09,-7.9646,12.6008,1.2675,17.6,5.25,0.5526,-12127.88
Foreign,JP MORGAN CHASE BANK N.A.,2005,92.71,3.58,71.13,44.39,67,3.77,3.7399,87.6939,11.4696,20.3494,7.1761,77.27,7.9234,10.3661,1.6755,13.69,6.0,0.7114,-9117.91
Foreign,JP MORGAN CHASE BANK N.A.,2006,100.83,2.53,63.42,44.39,82,4.25,2.643,54.7602,2.627,18.9154,7.9654,77.27,8.0607,9.8025,1.1841,13.58,6.5,0.7601,-7665.48
Foreign,JP MORGAN CHASE BANK N.A.,2007,171.89,1.71,26.72,44.39,155,5.8,1.7864,45.1629,12.8155,19.4251,8.7382,77.27,7.6608,9.8621,0.8003,14.29,7.0,0.8252,-7423.15
Foreign,JP MORGAN CHASE BANK N.A.,2008,384.32,3.07,40.9,54.64,160,6.37,3.2071,54.3086,13.0764,25.5248,8.9997,26.16,3.0867,10.5385,1.4368,15.7,7.0,0.4285,-7016.39
Foreign,JP MORGAN CHASE BANK N.A.,2009,720.94,4.21,34.06,-24.31,175,8.35,4.3981,65.7606,6.6711,23.8494,9.2621,26.24,7.8619,11.4597,1.9703,15.82,5.0,0.444,-6514.78
Foreign,JP MORGAN CHASE BANK N.A.,2010,-101.0,0.09,49.47,15.39,182,10.88,0.094,-58.0093,8.4432,24.8303,9.3917,12.96,8.4976,11.0076,0.0421,15.38,4.25,0.6137,-6880.32
Foreign,JP MORGAN CHASE BANK N.A.,2011,541.68,3.56,42.66,-38.5,221,11.99,3.719,50.3009,23.1422,26.2425,9.6133,22.16,5.2413,11.0845,2.1462,14.93,6.5,0.7834,-7245.85
Foreign,JP MORGAN CHASE BANK N.A.,2012,346.8,2.9,42.67,-20.49,256,8.86,3.0295,26.0707,21.8538,24.5149,9.9391,32.58,5.4564,10.6839,1.7483,14.18,8.5,0.5424,-8718.75
Foreign,JP MORGAN CHASE BANK N.A.,2013,562.02,3.07,40.92,-2.48,243,9.31,3.2071,29.6823,21.0917,22.7058,10.1401,20.1,6.3861,10.2952,1.8508,13.88,7.9,0.4172,-7539.33
Foreign,JP MORGAN CHASE BANK N.A.,2014,915.44,3.51,46.6,-1.0,238,11.06,3.6668,41.0443,15.5313,23.0478,10.2574,11.73,7.4102,10.4409,2.116,13.34,7.75,0.7316,-6434.89
Foreign,JP MORGAN CHASE BANK N.A.,2015,874.69,3.6,52.11,-23.41,243,6.65,3.7608,36.9061,18.0753,22.165,10.2595,0.21,7.9962,10.4283,2.1703,13.0,8.0,0.4707,-6700.98
Foreign,JP MORGAN CHASE BANK N.A.,2016,786.86,2.4,54.13,-23.41,257,4.91,2.5072,32.8198,32.7059,22.8697,10.3336,7.4,8.2563,10.3085,0.9476,12.8,6.75,0.6155,-7010.21
Foreign,JP MORGAN CHASE BANK N.A.,2017,993.13,2.54,37.68,-23.41,286,4.95,2.6535,39.6464,18.2962,16.8982,10.6932,35.96,6.7954,10.7672,1.0029,12.53,6.25,0.4443,-6704.84
Foreign,JP MORGAN CHASE BANK N.A.,2018,1159.13,2.63,34.33,-23.41,287,3.33,2.7475,48.1144,27.7141,21.6743,10.7176,2.44,6.533,10.7885,1.0385,12.2,6.0,0.5344,-6562.88
Foreign,JP MORGAN CHASE BANK N.A.,2019,1130.31,2.61,44.15,-23.41,295,3.95,2.7266,36.4178,25.6642,22.4062,10.8925,17.49,4.0416,11.228,1.0306,13.21,6.5,0.6329,-7156.51
Foreign,JP MORGAN CHASE BANK N.A.,2020,937.42,2.17,30.69,-23.41,331,3.72,2.2669,30.1373,15.8729,15.7318,11.435,54.25,-7.9646,12.6008,0.8568,17.6,5.25,0.4203,-8214.28
Foreign,JSC VTB BANK,2009,0.14,-0.26,1.83,0.77,17,8.35,-0.0269,-12.3853,8.5232,92.0871,4.7293,-0.45,7.8619,11.4597,-0.1217,15.82,5.0,0.5918,-57708.36
Foreign,JSC VTB BANK,2010,0.27,-1.16,7.16,0.77,16,10.88,-0.1199,-12.3853,8.045,92.0871,4.7871,-0.45,8.4976,11.0076,-0.5429,15.38,4.25,0.3525,-57708.36
Foreign,JSC VTB BANK,2011,0.46,-1.03,5.89,0.77,16,11.99,-0.1065,-32.6241,45.2391,92.0871,4.7826,-0.45,5.2413,11.0845,-0.6209,14.93,6.5,0.3752,-58183.32
Foreign,JSC VTB BANK,2012,0.87,0.76,6.23,0.77,26,8.86,0.0786,28.7129,65.4892,92.0871,4.7901,0.75,5.4564,10.6839,0.4582,14.18,8.5,0.6539,-58658.29
Foreign,JSC VTB BANK,2013,2.37,2.01,7.59,1.59,19,9.31,0.2078,42.3214,67.5521,85.0698,4.8753,8.52,6.3861,10.2952,1.2117,13.88,7.9,0.4971,-59133.25
Foreign,JSC VTB BANK,2014,4.62,1.87,15.26,2.41,22,11.06,0.1933,58.4071,77.103,70.1646,5.0929,21.76,7.4102,10.4409,1.1273,13.34,7.75,0.4346,-41216.3
Foreign,JSC VTB BANK,2015,2.14,0.15,7.38,3.23,16,6.65,0.0155,32.1321,31.3721,90.1068,4.8398,-25.3,7.9962,10.4283,0.0904,13.0,8.0,0.4856,-54152.73
Foreign,JSC VTB BANK,2016,0.75,-5.99,0.45,4.02,25,4.91,-0.6192,-40.5405,49.5979,95.8184,4.7178,-12.21,8.2563,10.3085,-2.3652,12.8,6.75,0.6708,-36296.36
Foreign,JSC VTB BANK,2017,1.56,-0.44,0.38,0.79,21,4.95,-0.0455,-55.914,18.2216,84.7743,4.835,11.72,6.7954,10.7672,-0.1737,12.53,6.25,0.669,-18440.0
Foreign,JSC VTB BANK,2018,0.06,-26.22,0.04,19.81,19,3.33,-2.7105,-0.5515,18.2216,97.86,4.4541,-38.09,6.533,10.7885,-10.353,12.2,6.0,1.5,-583.63
Foreign,JSC VTB BANK,2019,0.04,-14.39,0.05,19.81,15,3.95,-1.4876,-0.3731,18.2216,98.6165,4.3101,-14.4,4.0416,11.228,-5.6819,13.21,6.5,1.0,0.85
Foreign,JSC VTB BANK,2020,8.56,13.09,0.06,19.81,12,3.72,1.3532,233.2425,18.2216,97.9092,4.461,15.08,-7.9646,12.6008,5.1686,17.6,5.25,0.5775,-59458.72
Foreign,KBC BANK NV,2005,4.36,1.0,7.56,33.06,20,3.77,0.6871,18.85,65.1114,19.2143,6.5031,-3.06,7.9234,10.3661,0.468,13.69,6.0,1.1109,-13371.82
Foreign,KBC BANK NV,2006,5.04,1.21,8.21,33.06,19,4.25,0.8314,14.4994,65.2861,21.0218,6.4725,-3.06,8.0607,9.8025,0.5663,13.58,6.5,1.6922,-11527.35
Foreign,KBC BANK NV,2007,7.18,1.7,8.68,33.06,18,5.8,1.1681,16.7444,60.4936,23.6307,6.4303,-4.22,7.6608,9.8621,0.7956,14.29,7.0,0.6417,-9641.56
Foreign,KBC BANK NV,2008,7.68,1.63,10.15,33.06,19,6.37,1.12,18.277,60.6731,25.8583,6.6657,23.54,3.0867,10.5385,0.7629,15.7,7.0,0.5643,-9664.0
Foreign,KBC BANK NV,2009,13.37,1.64,8.34,33.06,24,8.35,1.1269,25.1127,72.3076,22.5678,6.8757,21.0,7.8619,11.4597,0.7675,15.82,5.0,0.5806,-8883.87
Foreign,KBC BANK NV,2010,15.27,-0.25,8.11,33.06,24,10.88,-0.1718,39.3658,63.401,30.791,6.5563,-31.94,8.4976,11.0076,-0.117,15.38,4.25,0.7775,-9363.06
Foreign,KBC BANK NV,2011,10.84,-1.72,6.06,45.73,25,11.99,-1.1818,39.3324,66.3756,22.3875,6.8062,24.99,5.2413,11.0845,-1.0369,14.93,6.5,0.5691,-12367.77
Foreign,KBC BANK NV,2012,17.86,1.2,6.7,31.58,24,8.86,0.8245,37.6238,77.5163,18.8585,7.0434,6.51,5.4564,10.6839,0.7234,14.18,8.5,0.6326,-9877.62
Foreign,KBC BANK NV,2013,24.13,1.31,7.82,17.43,28,9.31,0.9001,37.8154,74.8172,22.6558,6.9239,-11.96,6.3861,10.2952,0.7897,13.88,7.9,0.6399,-9472.96
Foreign,KBC BANK NV,2014,19.42,2.72,7.77,11.84,30,11.06,1.869,30.4771,72.2094,27.2101,6.8502,-7.37,7.4102,10.4409,1.6398,13.34,7.75,0.4269,-10877.7
Foreign,KBC BANK NV,2015,12.32,-1.47,10.17,6.26,26,6.65,-1.0101,28.4461,66.3784,45.4508,6.2938,-55.64,7.9962,10.4283,-0.8862,13.0,8.0,0.8746,-19853.58
Foreign,KBC BANK NV,2016,13.19,2.95,8.74,0.67,26,4.91,2.027,51.6445,66.3784,60.8041,6.0593,-23.45,8.2563,10.3085,1.1648,12.8,6.75,0.7021,-15683.94
Foreign,KEB HANA BANK,2016,10.77,1.21,24.15,22.11,16,4.91,1.4853,52.1297,24.4205,46.249,6.5098,45.05,8.2563,10.3085,0.4778,12.8,6.75,0.9456,-15887.01
Foreign,KEB HANA BANK,2017,15.1,1.63,22.15,22.11,17,4.95,2.0009,39.8417,22.9367,67.2716,6.8857,37.59,6.7954,10.7672,0.6436,12.53,6.25,0.8095,-12531.16
Foreign,KEB HANA BANK,2018,9.47,1.96,34.89,22.11,24,3.33,2.4059,17.3094,22.1481,55.6326,7.1077,22.2,6.533,10.7885,0.7739,12.2,6.0,0.7662,-12515.11
Foreign,KEB HANA BANK,2019,16.18,0.1,45.5,22.11,26,3.95,0.1228,20.7462,28.348,39.5329,7.4508,34.31,4.0416,11.228,0.0395,13.21,6.5,0.8129,-11115.22
Foreign,KEB HANA BANK,2020,17.73,0.3,50.9,10.64,44,3.72,0.3683,19.12,40.3078,30.3009,7.7242,27.34,-7.9646,12.6008,0.1185,17.6,5.25,0.7497,-12974.46
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2005,0.27,0.03,45.46,0.0,11,3.77,0.0265,17.1974,21.3956,52.2227,4.3282,1.97,7.9234,10.3661,0.014,13.69,6.0,0.5857,-56436.58
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2006,6.16,5.37,42.61,0.0,11,4.25,4.7521,83.2432,13.6187,54.6172,4.348,1.97,8.0607,9.8025,2.5132,13.58,6.5,0.8974,-10609.97
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2007,0.41,1.72,52.6,0.0,10,5.8,1.5221,11.0811,11.1669,46.666,4.5388,19.09,7.6608,9.8621,0.805,14.29,7.0,0.6496,-25808.35
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2008,0.85,1.9,63.27,0.0,10,6.37,1.6814,14.0962,6.9899,34.9337,4.8479,30.91,3.0867,10.5385,0.8892,15.7,7.0,0.5084,-16758.79
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2009,0.94,1.36,67.88,0.0,10,8.35,1.2035,11.7647,6.0821,29.491,5.0255,15.76,7.8619,11.4597,0.6365,15.82,5.0,0.502,-16691.02
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2010,1.08,0.52,69.72,0.0,10,10.88,0.4602,21.3018,3.3423,28.9118,5.0317,0.62,8.4976,11.0076,0.2434,15.38,4.25,0.5392,-24732.18
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2011,1.67,1.67,68.49,0.0,10,11.99,1.4778,22.2964,7.7808,27.3124,5.133,10.13,5.2413,11.0845,1.0068,14.93,6.5,0.513,-16719.2
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2012,1.98,2.12,73.5,0.0,10,8.86,1.8761,17.3228,4.7998,24.6304,5.272,13.9,5.4564,10.6839,1.2781,14.18,8.5,0.5837,-12957.79
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2013,1.54,1.82,77.14,0.0,10,9.31,1.6106,10.6501,6.7264,20.6289,5.4717,19.98,6.3861,10.2952,1.0972,13.88,7.9,0.6389,-13259.6
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2014,1.45,2.08,78.04,0.0,10,11.06,1.8407,8.3864,4.7286,19.9794,5.6033,13.16,7.4102,10.4409,1.2539,13.34,7.75,0.6399,-12893.68
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2015,1.35,2.31,80.6,0.0,10,6.65,2.0442,6.0948,1.7565,17.4964,5.8583,25.5,7.9962,10.4283,1.3926,13.0,8.0,0.3758,-11992.56
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2016,0.74,1.6,81.33,0.0,9,4.91,1.4159,3.0465,0.7114,16.5647,6.0173,15.89,8.2563,10.3085,0.6318,12.8,6.75,0.5869,-12428.28
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2017,0.58,1.62,81.61,0.0,11,4.95,1.4336,2.2871,1.6396,16.5708,6.1135,9.63,6.7954,10.7672,0.6397,12.53,6.25,0.9935,-12589.6
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2018,0.55,1.33,81.75,0.0,9,3.33,1.177,2.2495,0.5243,16.5041,6.1948,8.07,6.533,10.7885,0.5252,12.2,6.0,0.9954,-12829.97
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2019,0.68,1.46,86.41,0.0,10,3.95,1.292,2.4148,0.732,11.8941,6.26,6.52,4.0416,11.228,0.5765,13.21,6.5,0.8793,-13497.44
Foreign,KRUNG THAI BANK PUBLIC COMPANY LTD.,2020,1.1,1.02,86.65,0.0,12,3.72,0.9026,4.5212,0.3443,11.7244,6.2703,1.03,-7.9646,12.6008,0.4028,17.6,5.25,0.7833,-14880.79
Foreign,MASHREQ BANK PSC,2005,3.68,1.1,79.92,0.0,10,3.77,0.5251,12.7601,5.5832,17.4901,5.8177,-133.35,7.9234,10.3661,0.5148,13.69,6.0,0.6661,-10147.95
Foreign,MASHREQ BANK PSC,2006,6.9,1.3,24.2,0.0,10,4.25,0.6205,29.601,34.6388,70.5869,4.4841,-133.35,8.0607,9.8025,0.6084,13.58,6.5,0.4321,-8556.83
Foreign,MASHREQ BANK PSC,2007,7.91,8.19,31.89,0.0,16,5.8,3.9095,79.899,29.6813,65.9996,4.7045,22.03,7.6608,9.8621,3.833,14.29,7.0,0.5574,-12353.92
Foreign,MASHREQ BANK PSC,2008,9.68,8.82,26.75,0.0,15,6.37,4.2102,81.3445,34.8498,69.9983,4.7635,5.91,3.0867,10.5385,4.1279,15.7,7.0,0.737,-11056.65
Foreign,MASHREQ BANK PSC,2009,10.35,4.43,18.97,0.0,16,8.35,2.1146,107.1429,8.8705,79.4171,4.7018,-6.18,7.8619,11.4597,2.0733,15.82,5.0,0.6798,-14522.98
Foreign,MASHREQ BANK PSC,2010,13.12,3.35,29.44,0.0,16,10.88,1.5991,131.0689,39.247,64.0777,4.964,26.23,8.4976,11.0076,1.5678,15.38,4.25,0.6345,-19918.34
Foreign,MASHREQ BANK PSC,2011,16.8,5.03,36.58,0.0,13,11.99,2.401,121.563,25.2105,60.7444,5.0993,13.52,5.2413,11.0845,3.0324,14.93,6.5,0.6147,-16303.31
Foreign,MASHREQ BANK PSC,2012,22.23,5.76,40.45,0.0,14,8.86,2.7495,139.7234,27.075,56.537,5.2634,16.41,5.4564,10.6839,3.4725,14.18,8.5,0.6496,-20585.77
Foreign,MASHREQ BANK PSC,2013,20.59,5.61,48.44,0.0,12,9.31,2.6779,105.9156,22.2015,49.0104,5.5076,24.42,6.3861,10.2952,3.382,13.88,7.9,0.7965,-13768.83
Foreign,MASHREQ BANK PSC,2014,29.3,5.28,38.39,0.0,14,11.06,2.5204,110.9848,55.4249,42.0064,5.7732,26.56,7.4102,10.4409,3.1831,13.34,7.75,0.8134,-14605.39
Foreign,MASHREQ BANK PSC,2015,29.79,3.56,30.06,0.0,14,6.65,1.6993,109.4416,59.1766,32.5211,6.117,1.05,7.9962,10.4283,2.1462,13.0,8.0,0.7965,-15001.06
Foreign,MASHREQ BANK PSC,2016,28.0,5.59,42.76,0.0,14,4.91,2.6684,103.0548,46.1502,47.1499,5.8723,-24.46,8.2563,10.3085,2.2072,12.8,6.75,0.9277,-14284.96
Foreign,MASHREQ BANK PSC,2017,28.21,3.97,32.06,0.0,15,4.95,1.8951,108.709,57.0793,48.8379,5.9274,5.51,6.7954,10.7672,1.5676,12.53,6.25,0.9342,-16240.57
Foreign,MASHREQ BANK PSC,2018,32.01,3.58,27.01,0.0,19,3.33,1.7089,104.6078,66.6411,31.3429,6.4582,53.07,6.533,10.7885,1.4136,12.2,6.0,0.8648,-15416.8
Foreign,MASHREQ BANK PSC,2019,35.46,3.73,28.95,0.0,19,3.95,1.7805,92.4883,54.0317,66.9676,6.3882,-7.0,4.0416,11.228,1.4728,13.21,6.5,0.7932,-13978.4
Foreign,MASHREQ BANK PSC,2020,23.57,2.79,27.46,0.0,29,3.72,1.3318,45.4055,53.9104,43.5532,6.8812,49.3,-7.9646,12.6008,1.1016,17.6,5.25,0.9009,-13132.03
Foreign,MIZUHO BANK LTD,2005,6.22,2.13,24.13,-0.72,52,3.77,2.3035,40.574,58.5801,36.0579,6.1208,-76.04,7.9234,10.3661,0.9969,13.69,6.0,0.6599,-14321.69
Foreign,MIZUHO BANK LTD,2006,7.86,0.88,25.26,-1.36,75,4.25,0.9517,34.6255,60.4218,67.9654,6.2968,17.6,8.0607,9.8025,0.4119,13.58,6.5,0.5711,-12310.99
Foreign,MIZUHO BANK LTD,2007,13.47,1.3,13.01,-0.06,83,5.8,1.4059,33.0309,68.7313,40.8291,6.8388,54.19,7.6608,9.8621,0.6084,14.29,7.0,0.5167,-12970.93
Foreign,MIZUHO BANK LTD,2008,19.61,1.96,36.49,-0.14,95,6.37,2.1197,28.5153,69.913,32.7629,7.111,27.22,3.0867,10.5385,0.9173,15.7,7.0,0.5171,-12633.19
Foreign,MIZUHO BANK LTD,2009,38.13,2.43,52.55,-0.22,113,8.35,2.628,29.1158,51.2544,34.0817,7.6887,57.77,7.8619,11.4597,1.1373,15.82,5.0,0.5493,-10555.66
Foreign,MIZUHO BANK LTD,2010,37.26,0.89,55.2,-0.02,126,10.88,0.9625,41.5895,50.3001,35.5277,7.6744,-1.43,8.4976,11.0076,0.4165,15.38,4.25,0.5103,-13784.77
Foreign,MIZUHO BANK LTD,2011,67.31,2.37,17.03,-0.19,158,11.99,2.5631,40.1419,63.858,82.1847,8.2788,60.45,5.2413,11.0845,1.4288,14.93,6.5,0.5036,-10086.93
Foreign,MIZUHO BANK LTD,2012,107.46,4.0,12.53,-0.36,174,8.86,4.3259,32.6775,66.7248,63.6187,8.5882,30.93,5.4564,10.6839,2.4114,14.18,8.5,0.5054,-8717.55
Foreign,MIZUHO BANK LTD,2013,95.91,3.9,22.87,31.3,197,9.31,4.2177,21.6447,72.4035,47.0679,8.9388,35.07,6.3861,10.2952,2.3511,13.88,7.9,0.5222,-9656.84
Foreign,MIZUHO BANK LTD,2014,33.47,2.46,18.9,4.7,262,11.06,2.6604,6.8519,69.6828,36.9141,9.2363,29.75,7.4102,10.4409,1.483,13.34,7.75,2.1742,-14472.2
Foreign,MIZUHO BANK LTD,2015,-0.91,1.79,25.88,24.84,299,6.65,1.9358,-0.1686,60.36,35.6286,9.3171,15.89,7.9962,10.4283,1.0791,13.0,8.0,1.5272,-17427.22
Foreign,MIZUHO BANK LTD,2016,68.76,2.09,36.52,-60.84,347,4.91,2.2603,11.0214,63.5647,28.9652,9.5886,2.04,8.2563,10.3085,0.8252,12.8,6.75,0.8803,-15293.57
Foreign,MIZUHO BANK LTD,2017,71.84,1.15,47.06,-60.84,355,4.95,1.2437,10.6422,59.2601,33.8795,9.4704,-11.82,6.7954,10.7672,0.4541,12.53,6.25,1.0804,-15926.98
Foreign,MIZUHO BANK LTD,2018,157.97,1.41,38.26,-60.84,355,3.33,1.5249,21.7218,65.2461,33.6938,9.5197,4.93,6.533,10.7885,0.5567,12.2,6.0,0.5076,-13128.48
Foreign,MIZUHO BANK LTD,2019,133.93,1.25,40.3,-60.84,332,3.95,1.3518,16.002,65.8524,28.2513,9.7379,21.82,4.0416,11.228,0.4936,13.21,6.5,0.5145,-13616.88
Foreign,MIZUHO BANK LTD,2020,322.05,2.04,65.39,-60.84,325,3.72,2.2062,25.6281,42.4422,23.3963,10.0071,26.92,-7.9646,12.6008,0.8055,17.6,5.25,0.6223,-9735.49
Foreign,"MUFG BANK, LTD.",2005,57.31,0.93,46.89,-0.6,156,3.77,1.4616,71.1926,49.2236,32.4781,7.0347,51.75,7.9234,10.3661,0.4353,13.69,6.0,0.5659,-10086.35
Foreign,"MUFG BANK, LTD.",2006,36.16,0.02,41.17,-0.7,159,4.25,0.0314,49.5546,54.2565,31.2459,7.5522,51.75,8.0607,9.8025,0.0094,13.58,6.5,0.3629,-14178.65
Foreign,"MUFG BANK, LTD.",2007,49.17,2.11,39.95,-0.22,132,5.8,3.3161,36.4627,66.0792,26.7071,7.7849,23.27,7.6608,9.8621,0.9875,14.29,7.0,0.3676,-10255.52
Foreign,"MUFG BANK, LTD.",2008,42.65,2.4,37.91,-0.48,137,6.37,3.7718,18.8825,65.9165,32.573,8.1605,37.56,3.0867,10.5385,1.1232,15.7,7.0,0.4819,-9293.57
Foreign,"MUFG BANK, LTD.",2009,62.71,1.49,45.66,1.25,95,8.35,2.3417,18.5929,65.7955,26.5664,8.4221,26.16,7.8619,11.4597,0.6973,15.82,5.0,0.504,-9087.68
Foreign,"MUFG BANK, LTD.",2010,77.34,1.31,39.27,-0.82,180,10.88,2.0588,27.3306,59.769,41.1894,8.6307,20.86,8.4976,11.0076,0.6131,15.38,4.25,0.4672,-8956.89
Foreign,"MUFG BANK, LTD.",2011,81.39,1.64,23.8,-0.04,223,11.99,2.5774,24.9747,75.7669,42.0267,8.8468,21.61,5.2413,11.0845,0.9887,14.93,6.5,0.4997,-9866.19
Foreign,"MUFG BANK, LTD.",2012,127.34,1.85,27.64,-237.81,276,8.86,2.9074,22.971,63.8548,33.9326,9.1662,42.74,5.4564,10.6839,1.1153,14.18,8.5,0.4468,-10093.91
Foreign,"MUFG BANK, LTD.",2013,173.3,2.06,31.49,0.48,328,9.31,3.2375,20.9674,51.9426,25.8385,9.4855,63.87,6.3861,10.2952,1.2419,13.88,7.9,0.394,-10321.62
Foreign,"MUFG BANK, LTD.",2014,228.7,1.24,31.23,0.8,381,11.06,1.9488,22.9273,37.7273,23.1814,9.6461,16.06,7.4102,10.4409,0.7475,13.34,7.75,0.3705,-9587.13
Foreign,"MUFG BANK, LTD.",2015,265.33,1.26,36.71,53.09,400,6.65,1.9802,22.69,34.196,22.8064,9.7198,7.38,7.9962,10.4283,0.7596,13.0,8.0,0.3407,-9813.51
Foreign,"MUFG BANK, LTD.",2016,286.31,1.04,43.57,45.97,408,4.91,1.6345,22.6411,39.3307,20.7521,9.8629,14.31,8.2563,10.3085,0.4106,12.8,6.75,0.4278,-9747.56
Foreign,"MUFG BANK, LTD.",2017,392.36,2.61,56.68,9.71,406,4.95,4.1019,27.4,46.4377,22.6016,9.9027,17.61,6.7954,10.7672,1.0306,12.53,6.25,0.3506,-8873.5
Foreign,"MUFG BANK, LTD.",2018,315.08,1.42,44.79,12.38,403,3.33,2.2317,23.789,36.5865,20.1585,10.0841,20.91,6.533,10.7885,0.5607,12.2,6.0,0.5984,-9670.05
Foreign,"MUFG BANK, LTD.",2019,388.35,1.62,52.15,47.38,413,3.95,2.546,24.1621,39.4635,17.0846,10.3262,24.21,4.0416,11.228,0.6397,13.21,6.5,0.571,-9335.68
Foreign,"MUFG BANK, LTD.",2020,389.9,1.63,52.33,-70.0,432,3.72,2.5617,21.9211,35.4073,15.1226,10.5301,20.39,-7.9646,12.6008,0.6436,17.6,5.25,0.4925,-9794.31
Foreign,NATIONAL AUSTRALIA BANK,2012,1.36,-1.54,0.0,0.0,273,8.86,-0.591,-16.8944,50.8944,65.3357,5.043,72.98,5.4564,10.6839,-0.9284,14.18,8.5,1.0298,-23859.06
Foreign,NATIONAL AUSTRALIA BANK,2013,1.36,-5.41,0.0,0.0,19,9.31,-2.0761,-16.8944,50.8944,65.3357,5.7728,72.98,6.3861,10.2952,-3.2615,13.88,7.9,1.0298,-23859.06
Foreign,NATIONAL AUSTRALIA BANK,2014,5.19,1.44,0.04,0.0,27,11.06,0.5526,19.5554,35.2227,65.3357,6.9814,120.86,7.4102,10.4409,0.8681,13.34,7.75,1.0966,-48519.82
